id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,TCK-PWY9ER62,Medium,On Hold,Security,Issue related to Hardware,Detailed ticket description yhqBiagHtliNQaIjwuQp,2023-05-16,,Technician B,2025-12-10 13:49:04
2,TCK-RVJ4IW9D,Medium,Closed,Hardware,Issue related to Software,Detailed ticket description RBfqePcZizFTrGobWOEU,2023-07-24,2023-08-13,Technician B,2025-12-10 13:49:04
3,TCK-NJ18K94I,Medium,Closed,Hardware,Issue related to Security,Detailed ticket description LoVBfRcxcufGOhGxRlVL,2023-05-07,,Admin,2025-12-10 13:49:04
4,TCK-6DQIVNY7,Critical,In Progress,Access Request,Issue related to Security,Detailed ticket description tEcwaNMdgbPVBVAUGVlL,2023-09-07,2023-09-08,Unassigned,2025-12-10 13:49:04
5,TCK-LVCB92BU,Critical,Open,Security,Issue related to Software,Detailed ticket description LgtGwkZhypxQACzAtMSn,2024-03-17,2024-04-10,Admin,2025-12-10 13:49:04
6,TCK-TXNMRI27,Low,Open,Access Request,Issue related to Network,Detailed ticket description iCmftPCqiOqKanxrwNRp,2024-06-05,,Admin,2025-12-10 13:49:04
7,TCK-08UIGFYZ,Low,On Hold,Access Request,Issue related to Network,Detailed ticket description vRiwPAWRFkIJvCmKHTyW,2023-03-29,2023-04-28,Technician B,2025-12-10 13:49:04
8,TCK-X9452OAY,Medium,Open,Hardware,Issue related to Security,Detailed ticket description cobPYsaJGJVYYLWxeyhK,2024-08-11,2024-08-30,IT Support 2,2025-12-10 13:49:04
9,TCK-1NOLZYQ9,High,Resolved,Hardware,Issue related to Access Request,Detailed ticket description FkAyePvcYBZxwnZIIiSV,2023-05-18,2023-05-24,IT Support 1,2025-12-10 13:49:04
10,TCK-C4EH9B3K,Low,In Progress,Access Request,Issue related to Access Request,Detailed ticket description KAVUBMMhKJuaivBtCkBw,2024-04-29,2024-05-24,Technician A,2025-12-10 13:49:04
11,TCK-P86LA8D9,Low,On Hold,Hardware,Issue related to Access Request,Detailed ticket description DfQBvdGnHWybOGPoCOXG,2023-11-04,2023-11-22,IT Support 2,2025-12-10 13:49:04
12,TCK-R7YL1SX4,Low,On Hold,Other,Issue related to Security,Detailed ticket description wGnEOCyRfVNZSkqFgaCF,2024-01-16,,Technician B,2025-12-10 13:49:04
13,TCK-F9IG5JR7,Medium,Open,Security,Issue related to Other,Detailed ticket description NyxxZjQqEGKNSEsmdSBo,2023-08-29,2023-09-18,Technician A,2025-12-10 13:49:04
14,TCK-V230ZLA5,Medium,Open,Access Request,Issue related to Security,Detailed ticket description paSbTsQFDqewJsrqkFPp,2023-04-11,2023-05-07,IT Support 2,2025-12-10 13:49:04
15,TCK-3STWSRCI,High,Resolved,Hardware,Issue related to Software,Detailed ticket description EdewdJzQZMyceEhHSQYX,2023-11-06,2023-11-16,IT Support 2,2025-12-10 13:49:04
16,TCK-4G5V7QE2,Low,Open,Security,Issue related to Network,Detailed ticket description CnyKXBlCPJzBUCfltVWd,2024-03-12,2024-03-23,IT Support 1,2025-12-10 13:49:04
17,TCK-R0BB8M70,High,Open,Software,Issue related to Access Request,Detailed ticket description sTiEWIOuJQmbdeJrYQkL,2023-05-09,2023-06-01,IT Support 1,2025-12-10 13:49:04
18,TCK-C9MS0L03,Medium,In Progress,Hardware,Issue related to Software,Detailed ticket description DTGdeBvzMdyQlrdqBapC,2024-01-30,2024-02-24,IT Support 1,2025-12-10 13:49:04
19,TCK-LGGU0UMF,Low,In Progress,Software,Issue related to Security,Detailed ticket description uqXRQHRHZeWreNZfiZvF,2024-01-30,2024-02-27,Technician A,2025-12-10 13:49:04
20,TCK-MUS50XNH,Critical,Closed,Hardware,Issue related to Network,Detailed ticket description oCEsuJQrBsGcsgvGugnq,2024-04-25,2024-05-13,IT Support 1,2025-12-10 13:49:04
21,TCK-Y6G3R190,Critical,Open,Security,Issue related to Other,Detailed ticket description OOgYFlQqDXaPJvvUquWS,2023-11-14,,Unassigned,2025-12-10 13:49:04
22,TCK-NRFGSIT3,High,In Progress,Other,Issue related to Other,Detailed ticket description jYpLqzHWiHjzKsEqcjkM,2023-04-14,2023-04-15,Technician B,2025-12-10 13:49:04
23,TCK-SEA7FIO0,Medium,Resolved,Other,Issue related to Software,Detailed ticket description QqdrIQKWJZPQjkvNUzEi,2023-05-13,,Unassigned,2025-12-10 13:49:04
24,TCK-UQJZ4T7U,High,Closed,Access Request,Issue related to Hardware,Detailed ticket description UMxqgGsushwLbabttyvE,2024-08-06,2024-08-25,Unassigned,2025-12-10 13:49:04
25,TCK-5ASRY1DW,High,Open,Security,Issue related to Other,Detailed ticket description qjOmVIjUUwtRzdqtIAtk,2024-08-08,2024-09-07,Admin,2025-12-10 13:49:04
26,TCK-0P2LC1RR,High,Resolved,Hardware,Issue related to Network,Detailed ticket description yBnWJRzMCeADwJprwiPS,2024-01-20,2024-02-03,Technician A,2025-12-10 13:49:04
27,TCK-HS8Q06Q9,Low,Closed,Other,Issue related to Other,Detailed ticket description hhZxUmjWrFibwIarvwTS,2024-03-07,,IT Support 2,2025-12-10 13:49:04
28,TCK-O5CZTQV2,High,In Progress,Hardware,Issue related to Access Request,Detailed ticket description VSyxPNERSpOyXezwQNUb,2023-06-06,2023-07-01,Technician A,2025-12-10 13:49:04
29,TCK-2T34JAK6,Low,On Hold,Access Request,Issue related to Access Request,Detailed ticket description gKtrQejBQkQfPBBmcCKX,2024-05-05,,IT Support 2,2025-12-10 13:49:04
30,TCK-O0OWNSFA,High,On Hold,Other,Issue related to Software,Detailed ticket description IbrmpZjZrPbXBMJguvlN,2024-05-29,2024-06-22,Admin,2025-12-10 13:49:04
31,TCK-MTUF9QH3,High,Closed,Network,Issue related to Network,Detailed ticket description WIxTCFFbmNzNVYkPfgEM,2023-11-02,2023-11-21,IT Support 1,2025-12-10 13:49:04
32,TCK-7NBPMB6Z,Low,Open,Access Request,Issue related to Software,Detailed ticket description dIzBuJDUiUYEHKpEguFm,2024-07-14,,Unassigned,2025-12-10 13:49:04
33,TCK-O1HDGW02,Low,Closed,Network,Issue related to Hardware,Detailed ticket description JavYoYOYFKCUUGbYzPUK,2024-01-25,,IT Support 1,2025-12-10 13:49:04
34,TCK-PZQLAGA1,Critical,Resolved,Other,Issue related to Network,Detailed ticket description rDpBKrkNYFRSfKFkoKzl,2023-10-17,,Unassigned,2025-12-10 13:49:04
35,TCK-1L6BCLAB,Low,Closed,Hardware,Issue related to Other,Detailed ticket description MwQlclThWYUsQYevuAeT,2024-11-30,2024-12-19,IT Support 1,2025-12-10 13:49:04
36,TCK-25OLEH5L,Critical,Closed,Hardware,Issue related to Other,Detailed ticket description GemlSDDLlOsZPXQWTnwz,2023-02-25,2023-03-19,Technician B,2025-12-10 13:49:04
37,TCK-Y80M2F4I,Medium,On Hold,Hardware,Issue related to Network,Detailed ticket description AlRqCjYwrEOGyOgmPkiN,2023-05-21,2023-06-02,IT Support 2,2025-12-10 13:49:04
38,TCK-MGWRUUK3,Low,On Hold,Hardware,Issue related to Other,Detailed ticket description VDUVyudTQcElgehzKdyK,2023-10-07,,IT Support 2,2025-12-10 13:49:04
